id	name	alt_accession	tax_id	pathways	aliases	topology
189	Uniprot:F8W186		taxid:9606			
190	Uniprot:Q9NRY4		taxid:9606			
191	Uniprot:P20936		taxid:9606	Receptor tyrosine kinase|T-cell receptor		Co-factor
192	Uniprot:H3BN62		taxid:9606	Innate immune pathways		
193	Uniprot:C9JDW2		taxid:9606			
194	Uniprot:A0A087X2F3		taxid:9606			
195	Uniprot:A0A0J9YYK1		taxid:9606			
196	Uniprot:Q9HCE7		taxid:9606	TGF|WNT/Wingless		Co-factor|Endocytosis related|Scaffold
197	Uniprot:Q14185		taxid:9606			
198	Uniprot:Q13547		taxid:9606			
199	Uniprot:E5RGV4		taxid:9606			
200	Uniprot:H3BMA2		taxid:9606			
201	Uniprot:G3XAL2		taxid:9606			
202	Uniprot:Q15672		taxid:9606			
203	Uniprot:Q5T8Z4		taxid:9606			
204	Uniprot:Q9H4C3		taxid:9606			
205	Uniprot:H0YFY4		taxid:9606			
206	Uniprot:A0A0A0MRJ2		taxid:9606			
207	Uniprot:P10721		taxid:9606	JAK/STAT|Receptor tyrosine kinase		Receptor
208	Uniprot:S4R442		taxid:9606			
209	Uniprot:O15379		taxid:9606			
210	Uniprot:G3V5T9		taxid:9606			
211	Uniprot:H0YK32		taxid:9606			
212	Uniprot:A0A3B3ITW9		taxid:9606			
213	Uniprot:C9JAP0		taxid:9606			
214	Uniprot:P01033		taxid:9606			
215	Uniprot:P03956		taxid:9606			
216	Uniprot:O43524		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|T-cell receptor|TNF pathway		Transcription factor
217	Uniprot:F5H3B1		taxid:9606			
218	Uniprot:P10145		taxid:9606	Toll-like receptor		
219	Uniprot:P25025		taxid:9606	Innate immune pathways		
220	Uniprot:P54274		taxid:9606			
221	Uniprot:B4DFJ1		taxid:9606			
222	Uniprot:O95271		taxid:9606			
223	Uniprot:A8MTK3		taxid:9606			
224	Uniprot:J3KSZ6		taxid:9606			
225	Uniprot:P62834		taxid:9606	Innate immune pathways		Mediator|Scaffold
226	Uniprot:Q9NPE3		taxid:9606			
227	Uniprot:Q9NX24		taxid:9606			
228	Uniprot:H7C2Q2		taxid:9606			
229	Uniprot:Q9NY12		taxid:9606			
230	Uniprot:Q15185		taxid:9606			
231	Uniprot:P05412		taxid:9606	Receptor tyrosine kinase|T-cell receptor|TGF|Toll-like receptor|WNT/Wingless		Transcription factor
232	Uniprot:H0YJM3		taxid:9606	Toll-like receptor		
233	Uniprot:K7EL09		taxid:9606			
234	Uniprot:Q2NKJ3		taxid:9606			
235	Uniprot:Q9H6T3		taxid:9606			
236	Uniprot:E0CX09		taxid:9606			
237	Uniprot:H7C5S7		taxid:9606			
238	Uniprot:P40938		taxid:9606			
239	Uniprot:C9JH72		taxid:9606			
240	Uniprot:C9JXZ7		taxid:9606			
241	Uniprot:P09884		taxid:9606			
242	Uniprot:F8VNY2		taxid:9606			
243	Uniprot:P49643		taxid:9606			
244	Uniprot:P15927		taxid:9606			
245	Uniprot:P27694		taxid:9606			
246	Uniprot:P35244		taxid:9606			
247	Uniprot:P12004		taxid:9606			
248	Uniprot:M0QXE6		taxid:9606			
249	Uniprot:E9PM91		taxid:9606			
250	Uniprot:Q9HCU8		taxid:9606			
251	Uniprot:K7ERC5		taxid:9606			
252	Uniprot:C9JRC7		taxid:9606			
253	Uniprot:J3QSX4		taxid:9606			
254	Uniprot:Q12834		taxid:9606			
255	Uniprot:Q14191		taxid:9606			
256	Uniprot:E9PRG7		taxid:9606			
257	Uniprot:P49959		taxid:9606			
258	Uniprot:A0A494C122		taxid:9606			
259	Uniprot:A2AB05		taxid:9606			
260	Uniprot:P16104		taxid:9606			
261	Uniprot:Q13535		taxid:9606			
262	Uniprot:A0A0U1RQR9		taxid:9606			
263	Uniprot:A0A087WY91		taxid:9606			
264	Uniprot:E7ESG2		taxid:9606			
265	Uniprot:H3BVG9		taxid:9606			
266	Uniprot:O75943		taxid:9606			
267	Uniprot:Q92547		taxid:9606			
268	Uniprot:K7EKQ4		taxid:9606			
269	Uniprot:Q8IYD8		taxid:9606			
270	Uniprot:Q9BXW9		taxid:9606			
271	Uniprot:B7ZA85		taxid:9606			
272	Uniprot:O14965		taxid:9606			
273	Uniprot:J3KRF8		taxid:9606			
274	Uniprot:Q9NQS7		taxid:9606			
275	Uniprot:H3BLT4		taxid:9606			
276	Uniprot:P49917		taxid:9606			
277	Uniprot:C9J9C7		taxid:9606			
278	Uniprot:Q13426		taxid:9606			
279	Uniprot:C9J6M1		taxid:9606			
280	Uniprot:P43351		taxid:9606			
281	Uniprot:O43543		taxid:9606			
282	Uniprot:G3V399		taxid:9606			
283	Uniprot:P51587		taxid:9606			
284	Uniprot:Q9NZG9		taxid:9606			
285	Uniprot:P54132		taxid:9606			
286	Uniprot:E7EVV8		taxid:9606			
287	Uniprot:Q6NZ36		taxid:9606			
288	Uniprot:Q0VAP4		taxid:9606			
289	Uniprot:C9J5X9		taxid:9606			
290	Uniprot:Q00597		taxid:9606			
291	Uniprot:Q9HB96		taxid:9606			
292	Uniprot:Q9NPI8		taxid:9606			
293	Uniprot:C9JSE3		taxid:9606			
294	Uniprot:H7C1M0		taxid:9606			
295	Uniprot:Q14469		taxid:9606	Notch		
296	Uniprot:Q13472		taxid:9606			
297	Uniprot:Q9NVI1		taxid:9606			
298	Uniprot:Q5VX84		taxid:9606			
299	Uniprot:E9PJ27		taxid:9606			
300	Uniprot:Q01094		taxid:9606			
301	Uniprot:A0A2R8Y743		taxid:9606			
302	Uniprot:Q9UQE7		taxid:9606			
303	Uniprot:Q13616		taxid:9606	B-cell receptor|Hedgehog		Co-factor|Transcription factor
304	Uniprot:E5RJR5		taxid:9606			
305	Uniprot:Q13309		taxid:9606			
306	Uniprot:P62877		taxid:9606	Hedgehog		Co-factor
307	Uniprot:A0A087WZZ9		taxid:9606			
308	Uniprot:A0A087WZQ0		taxid:9606	Receptor tyrosine kinase		
309	Uniprot:O75419		taxid:9606			
310	Uniprot:J3KTI7		taxid:9606			
311	Uniprot:B1AHB1		taxid:9606			
312	Uniprot:Q9Y5N6		taxid:9606			
313	Uniprot:H3BSY1		taxid:9606			
314	Uniprot:H7C4N9		taxid:9606			
315	Uniprot:J3KQ69		taxid:9606			
316	Uniprot:A0A3B3ITP6		taxid:9606			
317	Uniprot:Q14566		taxid:9606			
318	Uniprot:Q13415		taxid:9606			
319	Uniprot:C9JK08		taxid:9606			
320	Uniprot:U3KQL3		taxid:9606			
321	Uniprot:O43929		taxid:9606			
322	Uniprot:G3V0H0		taxid:9606			
